,hospital_beds_per_thousand,date,location,cty_id
1145,2.89,2020-06-21,Albania,5
1146,2.89,2020-06-22,Albania,5
1147,2.89,2020-06-23,Albania,5
1148,2.89,2020-06-24,Albania,5
1149,2.89,2020-06-25,Albania,5
1150,2.89,2020-06-26,Albania,5
1151,2.89,2020-06-27,Albania,5
1152,2.89,2020-06-28,Albania,5
1153,2.89,2020-06-29,Albania,5
1154,2.89,2020-06-30,Albania,5
1155,2.89,2020-07-01,Albania,5
1156,2.89,2020-07-02,Albania,5
1157,2.89,2020-07-03,Albania,5
1158,2.89,2020-07-04,Albania,5
1159,2.89,2020-07-05,Albania,5
1160,2.89,2020-07-06,Albania,5
1161,2.89,2020-07-07,Albania,5
1162,2.89,2020-07-08,Albania,5
1163,2.89,2020-07-09,Albania,5
1164,2.89,2020-07-10,Albania,5
1165,2.89,2020-07-11,Albania,5
1166,2.89,2020-07-12,Albania,5
1167,2.89,2020-07-13,Albania,5
1168,2.89,2020-07-14,Albania,5
1169,2.89,2020-07-15,Albania,5
1170,2.89,2020-07-16,Albania,5
1171,2.89,2020-07-17,Albania,5
1172,2.89,2020-07-18,Albania,5
1173,2.89,2020-07-19,Albania,5
1174,2.89,2020-07-20,Albania,5
1175,2.89,2020-07-21,Albania,5
1176,2.89,2020-07-22,Albania,5
1177,2.89,2020-07-23,Albania,5
1178,2.89,2020-07-24,Albania,5
1179,2.89,2020-07-25,Albania,5
1180,2.89,2020-07-26,Albania,5
1181,2.89,2020-07-27,Albania,5
1182,2.89,2020-07-28,Albania,5
1183,2.89,2020-07-29,Albania,5
1184,2.89,2020-07-30,Albania,5
1185,2.89,2020-07-31,Albania,5
1186,2.89,2020-08-01,Albania,5
1187,2.89,2020-08-02,Albania,5
1188,2.89,2020-08-03,Albania,5
1189,2.89,2020-08-04,Albania,5
1190,2.89,2020-08-05,Albania,5
1191,2.89,2020-08-06,Albania,5
1192,2.89,2020-08-07,Albania,5
1193,2.89,2020-08-08,Albania,5
1194,2.89,2020-08-09,Albania,5
1195,2.89,2020-08-10,Albania,5
1196,2.89,2020-08-11,Albania,5
1197,2.89,2020-08-12,Albania,5
1198,2.89,2020-08-13,Albania,5
1199,2.89,2020-08-14,Albania,5
1200,2.89,2020-08-15,Albania,5
1201,2.89,2020-08-16,Albania,5
1202,2.89,2020-08-17,Albania,5
1203,2.89,2020-08-18,Albania,5
1204,2.89,2020-08-19,Albania,5
1205,2.89,2020-08-20,Albania,5
1206,2.89,2020-08-21,Albania,5
1207,2.89,2020-08-22,Albania,5
1208,2.89,2020-08-23,Albania,5
1209,2.89,2020-08-24,Albania,5
1210,2.89,2020-08-25,Albania,5
1211,2.89,2020-08-26,Albania,5
1212,2.89,2020-08-27,Albania,5
1213,2.89,2020-08-28,Albania,5
1214,2.89,2020-08-29,Albania,5
1215,2.89,2020-08-30,Albania,5
1216,2.89,2020-08-31,Albania,5
1217,2.89,2020-09-01,Albania,5
1218,2.89,2020-09-02,Albania,5
1219,2.89,2020-09-03,Albania,5
1220,2.89,2020-09-04,Albania,5
1221,2.89,2020-09-05,Albania,5
1222,2.89,2020-09-06,Albania,5
1223,2.89,2020-09-07,Albania,5
1224,2.89,2020-09-08,Albania,5
1225,2.89,2020-09-09,Albania,5
1226,2.89,2020-09-10,Albania,5
1227,2.89,2020-09-11,Albania,5
1228,2.89,2020-09-12,Albania,5
1229,2.89,2020-09-13,Albania,5
1230,2.89,2020-09-14,Albania,5
1231,2.89,2020-09-15,Albania,5
1232,2.89,2020-09-16,Albania,5
1233,2.89,2020-09-17,Albania,5
1234,2.89,2020-09-18,Albania,5
1235,2.89,2020-09-19,Albania,5
1236,2.89,2020-09-20,Albania,5
1237,2.89,2020-09-21,Albania,5
1238,2.89,2020-09-22,Albania,5
1239,2.89,2020-09-23,Albania,5
1240,2.89,2020-09-24,Albania,5
1241,2.89,2020-09-25,Albania,5
1242,2.89,2020-09-26,Albania,5
1243,2.89,2020-09-27,Albania,5
1244,2.89,2020-09-28,Albania,5
1245,2.89,2020-09-29,Albania,5
1246,2.89,2020-09-30,Albania,5
1247,2.89,2020-10-01,Albania,5
1248,2.89,2020-10-02,Albania,5
1249,2.89,2020-10-03,Albania,5
1250,2.89,2020-10-04,Albania,5
1251,2.89,2020-10-05,Albania,5
1252,2.89,2020-10-06,Albania,5
1253,2.89,2020-10-07,Albania,5
1254,2.89,2020-10-08,Albania,5
1255,2.89,2020-10-09,Albania,5
1256,2.89,2020-10-10,Albania,5
1257,2.89,2020-10-11,Albania,5
1258,2.89,2020-10-12,Albania,5
1259,2.89,2020-10-13,Albania,5
1260,2.89,2020-10-14,Albania,5
1261,2.89,2020-10-15,Albania,5
1262,2.89,2020-10-16,Albania,5
1263,2.89,2020-10-17,Albania,5
1264,2.89,2020-10-18,Albania,5
1265,2.89,2020-10-19,Albania,5
1266,2.89,2020-10-20,Albania,5
1267,2.89,2020-10-21,Albania,5
1268,2.89,2020-10-22,Albania,5
1269,2.89,2020-10-23,Albania,5
1270,2.89,2020-10-24,Albania,5
1271,2.89,2020-10-25,Albania,5
1272,2.89,2020-10-26,Albania,5
1273,2.89,2020-10-27,Albania,5
1274,2.89,2020-10-28,Albania,5
1275,2.89,2020-10-29,Albania,5
1276,2.89,2020-10-30,Albania,5
1277,2.89,2020-10-31,Albania,5
1278,2.89,2020-11-01,Albania,5
1279,2.89,2020-11-02,Albania,5
1280,2.89,2020-11-03,Albania,5
1281,2.89,2020-11-04,Albania,5
1282,2.89,2020-11-05,Albania,5
1283,2.89,2020-11-06,Albania,5
1284,2.89,2020-11-07,Albania,5
1285,2.89,2020-11-08,Albania,5
1286,2.89,2020-11-09,Albania,5
1287,2.89,2020-11-10,Albania,5
1288,2.89,2020-11-11,Albania,5
1289,2.89,2020-11-12,Albania,5
1290,2.89,2020-11-13,Albania,5
1291,2.89,2020-11-14,Albania,5
1292,2.89,2020-11-15,Albania,5
1293,2.89,2020-11-16,Albania,5
1548,1.2,2019-12-31,United Arab Emirates,7
1549,1.2,2020-01-01,United Arab Emirates,7
1550,1.2,2020-01-02,United Arab Emirates,7
1551,1.2,2020-01-03,United Arab Emirates,7
1552,1.2,2020-01-04,United Arab Emirates,7
1553,1.2,2020-01-05,United Arab Emirates,7
1554,1.2,2020-01-06,United Arab Emirates,7
1555,1.2,2020-01-07,United Arab Emirates,7
1556,1.2,2020-01-08,United Arab Emirates,7
1557,1.2,2020-01-09,United Arab Emirates,7
1558,1.2,2020-01-10,United Arab Emirates,7
1559,1.2,2020-01-11,United Arab Emirates,7
1560,1.2,2020-01-12,United Arab Emirates,7
1561,1.2,2020-01-13,United Arab Emirates,7
1562,1.2,2020-01-14,United Arab Emirates,7
1563,1.2,2020-01-15,United Arab Emirates,7
1564,1.2,2020-01-16,United Arab Emirates,7
1565,1.2,2020-01-17,United Arab Emirates,7
1566,1.2,2020-01-18,United Arab Emirates,7
1567,1.2,2020-01-19,United Arab Emirates,7
1568,1.2,2020-01-20,United Arab Emirates,7
1569,1.2,2020-01-21,United Arab Emirates,7
1570,1.2,2020-01-22,United Arab Emirates,7
1571,1.2,2020-01-23,United Arab Emirates,7
1572,1.2,2020-01-24,United Arab Emirates,7
1573,1.2,2020-01-25,United Arab Emirates,7
1574,1.2,2020-01-26,United Arab Emirates,7
1575,1.2,2020-01-27,United Arab Emirates,7
1576,1.2,2020-01-28,United Arab Emirates,7
1577,1.2,2020-01-29,United Arab Emirates,7
1578,1.2,2020-01-30,United Arab Emirates,7
1579,1.2,2020-01-31,United Arab Emirates,7
1580,1.2,2020-02-01,United Arab Emirates,7
1581,1.2,2020-02-02,United Arab Emirates,7
1582,1.2,2020-02-03,United Arab Emirates,7
1583,1.2,2020-02-04,United Arab Emirates,7
1584,1.2,2020-02-05,United Arab Emirates,7
1585,1.2,2020-02-06,United Arab Emirates,7
1586,1.2,2020-02-07,United Arab Emirates,7
